ABC AUSTRALIA,6115,6115 - Exchange Gain/Loss,6115 - Exchange Gain/Loss,8250 - Exchange Loss/(Gain)
ABC AUSTRALIA,6120,6120 - Bank Service Charges,6120 - Bank Service Charges,6810 - Bank Service Charges
ABC AUSTRALIA,6125,6125 - Books and Publications,6125 - Books and Publications,6910 - Books and Publications
ABC AUSTRALIA,6130,6130 - Cash Discounts,6130 - Cash Discounts,6930 - Cash Discounts
ABC AUSTRALIA,6140,6140 - Gifts and Donations,6140 - Gifts and Donations,6460 - Gifts & Donations
ABC AUSTRALIA,6150,6150 - Depreciation Expense,6150 - Depreciation Expense,6830 - Depreciation Expense
ABC AUSTRALIA,6160,6160 - Dues and Subscriptions,6160 - Dues and Subscriptions,6920 - Dues and Subscriptions
ABC AUSTRALIA,6170,6170 - Equipment Rental,6170 - Equipment Rental,6370 - Equipment Expenses & Rentals
ABC AUSTRALIA,6175,6175 - Expensed Equipment,6175 - Expensed Equipment,6340 - Computer Consumables
ABC AUSTRALIA,6180,6180 - Insurance,6180 - Insurance,6170 - Insurances - HR Related
ABC AUSTRALIA,6185,6180 - Insurance:6185 - Workers Compensation Insurance,6185 - Workers Compensation Insurance,6170 - Insurances - HR Related
ABC AUSTRALIA,6190,6180 - Insurance:6190 - Sickness and accident Insurance,6190 - Sickness and accident Insurance,6170 - Insurances - HR Related
ABC AUSTRALIA,6200,6200 - Interest Expense,6200 - Interest Expense,6820 - Interest Expense
ABC AUSTRALIA,6210,6200 - Interest Expense:6210 - Finance Charge,6210 - Finance Charge,6820 - Interest Expense
ABC AUSTRALIA,6220,6200 - Interest Expense:6220 - Loan Interest,6220 - Loan Interest,6820 - Interest Expense
ABC AUSTRALIA,6375,6200 - Interest Expense:6375 - Mortgage,6375 - Mortgage,6820 - Interest Expense
ABC AUSTRALIA,6230,6230 - Licenses and Permits,6230 - Licenses and Permits,6750 - Licences & Permits
ABC AUSTRALIA,6240,6240 - Miscellaneous,6240 - Miscellaneous,6990 - Miscellaneous Expenses
ABC AUSTRALIA,6250,6250 - Postage and Delivery,6250 - Postage and Delivery,6310 - Postage and Courier
ABC AUSTRALIA,6260,6260 - Printing and Stationery,6260 - Printing and Stationery,6350 - Printing
ABC AUSTRALIA,6270,6270 - Professional Fees,6270 - Professional Fees,6790 - Other Acctg & Legal
ABC AUSTRALIA,6275,6270 - Professional Fees:6275 - Accounting,6275 - Accounting,6710 - Accounting
ABC AUSTRALIA,6280,6270 - Professional Fees:6280 - Legal Fees,6280 - Legal Fees,6740 - Legal Fees
ABC AUSTRALIA,6282,6270 - Professional Fees:6282 - Asic Fees,6282 - Asic Fees,6750 - Licences & Permits
ABC AUSTRALIA,6284,6270 - Professional Fees:6284 - Secretarial,6284 - Secretarial,6790 - Other Acctg & Legal
ABC AUSTRALIA,6288,6288 - Recruitment Fees,6288 - Recruitment Fees,6160 - Recruitment Costs
ABC AUSTRALIA,6290,6290 - Rent,6290 - Rent,6210 - Rent
ABC AUSTRALIA,6295,6295 - Office Expenses,6295 - Office Expenses,6320 - Office Supplies
ABC AUSTRALIA,6300,6300 - Repairs,6300 - Repairs,6240 - Building Repairs & Maintenance
ABC AUSTRALIA,6310,6300 - Repairs:6310 - Building Repairs,6310 - Building Repairs,6240 - Building Repairs & Maintenance
ABC AUSTRALIA,6320,6300 - Repairs:6320 - Computer Repairs,6320 - Computer Repairs,6360 - Equipment Repairs
ABC AUSTRALIA,6330,6300 - Repairs:6330 - Equipment Repairs,6330 - Equipment Repairs,6360 - Equipment Repairs
ABC AUSTRALIA,6334,6334 - Subscriptions,6334 - Subscriptions,6920 - Dues and Subscriptions
ABC AUSTRALIA,6335,6335 - Software Expense,6335 - Software Expense,6330 - Software Expense
ABC AUSTRALIA,6336,6336 - EDP Consumables,6336 - EDP Consumables,6340 - Computer Consumables
ABC AUSTRALIA,6340,6340 - Telephone & Internet,6340 - Telephone & Internet,6510 - Telephone
ABC AUSTRALIA,6341,6340 - Telephone & Internet:6341 - Mobile,6341 - Mobile,6510 - Telephone
ABC AUSTRALIA,6343,6340 - Telephone & Internet:6343 - Skype,6343 - Skype,6510 - Telephone
ABC AUSTRALIA,6345,6340 - Telephone & Internet:6345 - Fax,6345 - Fax,6510 - Telephone
ABC AUSTRALIA,6346,6340 - Telephone & Internet:6346 - ADSL Telephone Line,6346 - ADSL Telephone Line,6510 - Telephone
ABC AUSTRALIA,6347,6340 - Telephone & Internet:6347 - ISP Fees,6347 - ISP Fees,6520 - Internet
ABC AUSTRALIA,6348,6340 - Telephone & Internet:6348 - Internet Expenses,6348 - Internet Expenses,6520 - Internet
ABC AUSTRALIA,6350,6350 - Travel & Ent,6350 - Travel & Ent,6690 - Other
ABC AUSTRALIA,6360,6350 - Travel & Ent:6360 - Entertainment,6360 - Entertainment,6410 - Client Entertainment
ABC AUSTRALIA,6370,6350 - Travel & Ent:6370 - Meals,6370 - Meals,6640 - Meals and Per Diem
ABC AUSTRALIA,6380,6350 - Travel & Ent:6380 - Travel,6380 - Travel,6630 - Transportation
ABC AUSTRALIA,6385,6350 - Travel & Ent:6385 - Local Transportation,6385 - Local Transportation,6630 - Transportation
ABC AUSTRALIA,6390,6390 - Utilities,6390 - Utilities,6220 - Utilities
ABC AUSTRALIA,6400,6390 - Utilities:6400 - Gas and Electric,6400 - Gas and Electric,6220 - Utilities
ABC AUSTRALIA,6410,6390 - Utilities:6410 - Water,6410 - Water,6220 - Utilities
ABC AUSTRALIA,6480,6480 - External Services,6480 - External Services,6180 - Contracted Services
ABC AUSTRALIA,6490,6490 - Web Hosting Services,6490 - Web Hosting Services,6450 - Design and Web costs
ABC AUSTRALIA,6500,6500 - Marketing Expenses,6500 - Marketing Expenses,6490 - Other Marketing Costs
ABC AUSTRALIA,6510,6500 - Marketing Expenses:6510 - Webex Presentation,6510 - Webex Presentation,6490 - Other Marketing Costs
ABC AUSTRALIA,6560,6560 - Payroll Expenses,6560 - Payroll Expenses,6190 - Payroll Expenses
ABC AUSTRALIA,6565,6560 - Payroll Expenses:6565 - Employee Super,6565 - Employee Super,6130 - Superannuation
ABC AUSTRALIA,6910,6910 - Formation Expenses Written Off,6910 - Formation Expenses Written Off,6990 - Miscellaneous Expenses
ABC AUSTRALIA,7010,7010 - Interest Income,7010 - Interest Income,7110 - Interest Income
ABC AUSTRALIA,7030,7030 - Other Income,7030 - Other Income,7120 - Other Income
ABC AUSTRALIA,8010,8010 - Other Expenses,8010 - Other Expenses,8230 - Other Expense
ABC HONG KONG,1001,1001 - SCB HK$ 1,1001 - SCB HK$ 1,1001 - Local Bank Account 1
ABC HONG KONG,1002,1002 - SCB HK$ 2,1002 - SCB HK$ 2,1002 - Local Bank Account 2
ABC HONG KONG,1005,1005 - SCB US$,1005 - SCB US$,1010 - USD Bank Account 1
ABC HONG KONG,1008,1008 - Cash Suspense,1008 - Cash Suspense,1099 - Cash Suspense
ABC HONG KONG,1021,1021 - Petty Cash,1021 - Petty Cash,1090 - Petty Cash Account
ABC HONG KONG,1200,1200 - Accounts Receivable,1200 - Accounts Receivable,1210 - Trade Debtors
ABC HONG KONG,1201,1201 - Other Debtors,1201 - Other Debtors,1220 - Other Debtors
ABC HONG KONG,1220,1220 - MR Accounts Receivable,1220 - MR Accounts Receivable,1210 - Trade Debtors
ABC HONG KONG,1222,1222 - THB Accounts Receivable,1222 - THB Accounts Receivable,1210 - Trade Debtors
ABC HONG KONG,1224,1224 - NZD Accounts Receivable,1224 - NZD Accounts Receivable,1210 - Trade Debtors
ABC HONG KONG,1230,1230 - Temporary Suspense,1230 - Temporary Suspense,1099 - Cash Suspense
ABC HONG KONG,1300,1300 - Prepayments,1300 - Prepayments,1310 - Prepayments
ABC HONG KONG,1420,1420 - Advance Legal Fees,1420 - Advance Legal Fees,1320 - Advance Payments
ABC HONG KONG,1450,1450 - Deposits & Advances,1450 - Deposits & Advances,1320 - Advance Payments
ABC HONG KONG,1451,1450 - Deposits & Advances:1451 - Lease Deposit,1451 - Lease Deposit,1340 - Deposits
ABC HONG KONG,1452,1450 - Deposits & Advances:1452 - Other Deposits,1452 - Other Deposits,1340 - Deposits
ABC HONG KONG,1453,1450 - Deposits & Advances:1453 - Utilities Deposits,1453 - Utilities Deposits,1340 - Deposits
ABC HONG KONG,1460,1460 - Accrued Revenue,1460 - Accrued Revenue,1350 - Accrued Revenue
ABC HONG KONG,1470,1470 - Directors Loans,1470 - Directors Loans,1490 - Directors Loans - Non Specific
ABC HONG KONG,1471,1470 - Directors Loans:1471 - Director 1,1471 - Director 1,1410 - G C Parsons
ABC HONG KONG,1472,1470 - Directors Loans:1472 - Director 2,1472 - Director 2,1420 - G Wilk
ABC HONG KONG,1473,1470 - Directors Loans:1473 - Director 3,1473 - Director 3,1430 - T Lo
ABC HONG KONG,1480,1480 - Loan - ABC Singapore,1480 - Loan - ABC Singapore,1530 - Maxiplan Singapore
ABC HONG KONG,1485,1485 - Loans - ABC Australia,1485 - Loans - ABC Australia,1510 - Maxiplan Australia
ABC HONG KONG,1490,1490 - Loans New Venture,1490 - Loans New Venture,1540 - Maxiplan UK
ABC HONG KONG,1499,1499 - Undeposited Funds,1499 - Undeposited Funds,1590 - Undeposited Funds
ABC HONG KONG,1510,1510 - Employee Advances,1510 - Employee Advances,1330 - Employee Advances
ABC HONG KONG,1890,1890 - Office Equipment,1890 - Office Equipment,1620 - Office Equip - At Cost
ABC HONG KONG,1891,1890 - Office Equipment:1891 - Cost,1891 - Cost,1620 - Office Equip - At Cost
ABC HONG KONG,1892,1890 - Office Equipment:1892 - Accumulated Depreciation,1892 - Accumulated Depreciation,1630 - Office Equip - Accum Depn
ABC HONG KONG,1910,1910 - Computer Equipment,1910 - Computer Equipment,1650 - Computers - At Cost
ABC HONG KONG,1911,1910 - Computer Equipment:1911 - Cost,1911 - Cost,1650 - Computers - At Cost
ABC HONG KONG,1912,1910 - Computer Equipment:1912 - Accumulated Depn,1912 - Accumulated Depn,1660 - Computers - Accum Depn
