Account,Type,Accnt. #
6200 · Interest Expense:6208 · Mortgage,Expense,6208
6230 · Licenses and Permits,Expense,6230
6230 · Licenses and Permits:6231 · Business Registration,Expense,6231
6240 · Miscellaneous,Expense,6240
6250 · Postage and Delivery,Expense,6250
6260 · Printing and Reproduction,Expense,6260
6270 · Professional Fees,Expense,6270
6270 · Professional Fees:6271 · Accounting,Expense,6271
6270 · Professional Fees:6272 · Legal Fees,Expense,6272
6270 · Professional Fees:6273 · Audit Fee,Expense,6273
6270 · Professional Fees:6275 · Other Professional Services,Expense,6275
6270 · Professional Fees:6276 · Disbursements,Expense,6276
6280 · Repairs,Expense,6280
6280 · Repairs:6281 · Building Repairs,Expense,6281
6280 · Repairs:6282 · Computer Repairs,Expense,6282
6280 · Repairs:6283 · Equipment Repairs,Expense,6283
6280 · Repairs:6285 · Janitorial Exp,Expense,6285
6290 · Subscriptions,Expense,6290
6300 · Software Expense,Expense,6300
6310 · EDP Consumables,Expense,6310
6320 · Telephone,Expense,6320
6320 · Telephone:6321 · Installation,Expense,6321
6320 · Telephone:6322 · Internet Charges,Expense,6322
6320 · Telephone:6323 · ISD Calls,Expense,6323
6320 · Telephone:6325 · Local Calls,Expense,6325
6320 · Telephone:6326 · Service Fee,Expense,6326
6320 · Telephone:6327 · Fax,Expense,6327
6320 · Telephone:6330 · Mobile,Expense,6330
6320 · Telephone:6330 · Mobile:6331 · ISD Calls,Expense,6331
6320 · Telephone:6330 · Mobile:6332 · Local Calls,Expense,6332
6320 · Telephone:6330 · Mobile:6335 · Service Charge,Expense,6335
6340 · Bad Debts,Expense,6340
6350 · Travel and Acc.,Expense,6350
6350 · Travel and Acc.:6351 · Accommodation,Expense,6351
6350 · Travel and Acc.:6352 · Meals,Expense,6352
6350 · Travel and Acc.:6353 · Travel,Expense,6353
6350 · Travel and Acc.:6354 · Travel Insurance,Expense,6354
6350 · Travel and Acc.:6355 · Local Transportation,Expense,6355
6350 · Travel and Acc.:6356 · Per Diem Allowances,Expense,6356
6350 · Travel and Acc.:6357 · Airfares,Expense,6357
6360 · Stamp Duties,Expense,6360
6390 · Utilities,Expense,6390
6390 · Utilities:6392 · Gas and Electric,Expense,6392
6390 · Utilities:6396 · Water,Expense,6396
6550 · Office Supplies,Expense,6550
6550 · Office Supplies:6551 · Copier Service,Expense,6551
6550 · Office Supplies:6552 · Miscellaneous,Expense,6552
6550 · Office Supplies:6553 · Stationery,Expense,6553
6555 · Outside Services,Expense,6555
6560 · Payroll Expenses,Expense,6560
6690 · Reconciliation Discrepancies,Expense,6690
6700 · Development Costs External,Expense,6700
6700 · Development Costs External:6710 · Software Consultancy Devt Exp,Expense,6710
6700 · Development Costs External:6720 · Documentation Development Costs,Expense,6720
6700 · Development Costs External:6730 · Product Testing Costs,Expense,6730
6750 · Business Development Costs,Expense,6750
6998 · Expenses Suspense,Expense,6998
6999 · Uncategorised Expenses,Expense,6999
7010 · Interest Income,Other Income,7010
7020 · Sundry Income Account,Other Income,7020
7030 · Other Income,Other Income,7030
6800 · Taxes,Other Expense,6800
6800 · Taxes:6830 · Corporate,Other Expense,6830
6800 · Taxes:6850 · Property,Other Expense,6850
6800 · Taxes:6860 · Late Lodgement Penalty,Other Expense,6860
8010 · Other Expenses,Other Expense,8010
8010 · Other Expenses:8012 · Dividend Paid,Other Expense,8012
8010 · Other Expenses:8014 · Bad Debt,Other Expense,8014
8013 · Impairment loss Amt due fm Subs,Other Expense,8013
8020 · Curr. Exch Loss/(Gain),Other Expense,8020
8030 · Unclaimed GST,Other Expense,8030
8040 · Witholding Tax Penalties,Other Expense,8040
