MXP AUSTRALIA,6110,6110 - Motor Expense,6110 - Motor Expense,6630 - Transportation
MXP AUSTRALIA,6115,6115 - Exchange Gain/Loss,6115 - Exchange Gain/Loss,8250 - Exchange Loss/(Gain)
MXP AUSTRALIA,6120,6120 - Bank Service Charges,6120 - Bank Service Charges,6810 - Bank Service Charges
MXP AUSTRALIA,6125,6125 - Books and Publications,6125 - Books and Publications,6910 - Books and Publications
MXP AUSTRALIA,6130,6130 - Cash Discounts,6130 - Cash Discounts,6930 - Cash Discounts
MXP AUSTRALIA,6140,6140 - Gifts and Donations,6140 - Gifts and Donations,6460 - Gifts & Donations
MXP AUSTRALIA,6150,6150 - Depreciation Expense,6150 - Depreciation Expense,6830 - Depreciation Expense
MXP AUSTRALIA,6160,6160 - Dues and Subscriptions,6160 - Dues and Subscriptions,6920 - Dues and Subscriptions
MXP AUSTRALIA,6170,6170 - Equipment Rental,6170 - Equipment Rental,6370 - Equipment Expenses & Rentals
MXP AUSTRALIA,6175,6175 - Expensed Equipment,6175 - Expensed Equipment,6340 - Computer Consumables
MXP AUSTRALIA,6180,6180 - Insurance,6180 - Insurance,6170 - Insurances - HR Related
MXP AUSTRALIA,6185,6180 - Insurance:6185 - Workers Compensation Insurance,6185 - Workers Compensation Insurance,6170 - Insurances - HR Related
MXP AUSTRALIA,6190,6180 - Insurance:6190 - Sickness and accident Insurance,6190 - Sickness and accident Insurance,6170 - Insurances - HR Related
MXP AUSTRALIA,6200,6200 - Interest Expense,6200 - Interest Expense,6820 - Interest Expense
MXP AUSTRALIA,6210,6200 - Interest Expense:6210 - Finance Charge,6210 - Finance Charge,6820 - Interest Expense
MXP AUSTRALIA,6220,6200 - Interest Expense:6220 - Loan Interest,6220 - Loan Interest,6820 - Interest Expense
MXP AUSTRALIA,6375,6200 - Interest Expense:6375 - Mortgage,6375 - Mortgage,6820 - Interest Expense
MXP AUSTRALIA,6230,6230 - Licenses and Permits,6230 - Licenses and Permits,6750 - Licences & Permits
MXP AUSTRALIA,6240,6240 - Miscellaneous,6240 - Miscellaneous,6990 - Miscellaneous Expenses
MXP AUSTRALIA,6250,6250 - Postage and Delivery,6250 - Postage and Delivery,6310 - Postage and Courier
MXP AUSTRALIA,6260,6260 - Printing and Stationery,6260 - Printing and Stationery,6350 - Printing
MXP AUSTRALIA,6270,6270 - Professional Fees,6270 - Professional Fees,6790 - Other Acctg & Legal
MXP AUSTRALIA,6275,6270 - Professional Fees:6275 - Accounting,6275 - Accounting,6710 - Accounting
MXP AUSTRALIA,6280,6270 - Professional Fees:6280 - Legal Fees,6280 - Legal Fees,6740 - Legal Fees
MXP AUSTRALIA,6282,6270 - Professional Fees:6282 - Asic Fees,6282 - Asic Fees,6750 - Licences & Permits
