,"Date","Account","Debit","Credit","Amount"
"Jan - Jun 11",,,,,
,"11/03/2011","2000 · Accounts Payable",42.31,"",42.31
,"16/02/2011","2000 · Accounts Payable",101.03,"",101.03
,"16/02/2011","2000 · Accounts Payable",3159.56,"",3159.56
,"28/03/2011","2000 · Accounts Payable","",110.26,-110.26
,"1/04/2011","2000 · Accounts Payable","",3191.37,-3191.37
,"26/03/2011","2000 · Accounts Payable","",719.10,-719.10
,"12/04/2011","2000 · Accounts Payable",719.10,"",719.10
,"12/04/2011","2000 · Accounts Payable",3191.37,"",3191.37
,"12/04/2011","2000 · Accounts Payable",110.26,"",110.26
,"10/03/2011","2000 · Accounts Payable","",15000.00,-15000.00
,"11/05/2011","2000 · Accounts Payable","",16500.00,-16500.00
,"1/05/2011","2000 · Accounts Payable","",3335.60,-3335.60
,"27/04/2011","2000 · Accounts Payable","",94.62,-94.62
,"13/05/2011","2000 · Accounts Payable",94.62,"",94.62
,"13/05/2011","2000 · Accounts Payable",3335.60,"",3335.60
,"14/03/2011","2000 · Accounts Payable","",4743.58,-4743.58
,"8/05/2011","2000 · Accounts Payable","",337.12,-337.12
,"24/05/2011","2000 · Accounts Payable",15000.00,"",15000.00
,"25/01/2011","2100 · Payroll Liabilities","",128.21,-128.21
,"25/01/2011","2100 · Payroll Liabilities","",128.20,-128.20
,"25/01/2011","2100 · Payroll Liabilities",0.00,"",0.00
,"25/01/2011","2100 · Payroll Liabilities",0.00,"",0.00
,"25/01/2011","2100 · Payroll Liabilities","",128.20,-128.20
,"25/01/2011","2100 · Payroll Liabilities","",128.21,-128.21
,"25/01/2011","2100 · Payroll Liabilities",0.00,"",0.00
,"25/01/2011","2100 · Payroll Liabilities",128.20,"",128.20
,"25/01/2011","2100 · Payroll Liabilities",128.21,"",128.21
,"25/01/2011","2100 · Payroll Liabilities",256.41,"",256.41
,"28/02/2011","2100 · Payroll Liabilities","",128.21,-128.21
,"28/02/2011","2100 · Payroll Liabilities","",128.21,-128.21
,"28/02/2011","2100 · Payroll Liabilities",0.00,"",0.00
,"28/02/2011","2100 · Payroll Liabilities",0.00,"",0.00
,"28/02/2011","2100 · Payroll Liabilities",128.21,"",128.21
,"28/02/2011","2100 · Payroll Liabilities",122.36,"",122.36
,"28/02/2011","2100 · Payroll Liabilities",250.58,"",250.58
,"31/03/2011","2100 · Payroll Liabilities","",128.21,-128.21
,"31/03/2011","2100 · Payroll Liabilities","",128.21,-128.21
,"31/03/2011","2100 · Payroll Liabilities",0.00,"",0.00
,"31/03/2011","2100 · Payroll Liabilities",0.00,"",0.00
,"31/03/2011","2100 · Payroll Liabilities",128.21,"",128.21
,"31/03/2011","2100 · Payroll Liabilities",122.38,"",122.38
,"31/03/2011","2100 · Payroll Liabilities",250.56,"",250.56
,"28/02/2011","2100 · Payroll Liabilities","",122.37,-122.37
,"28/02/2011","2100 · Payroll Liabilities","",122.36,-122.36
,"28/02/2011","2100 · Payroll Liabilities",0.00,"",0.00
,"31/03/2011","2100 · Payroll Liabilities","",122.37,-122.37
,"31/03/2011","2100 · Payroll Liabilities","",122.36,-122.36
,"31/03/2011","2100 · Payroll Liabilities",0.00,"",0.00
,"29/04/2011","2100 · Payroll Liabilities","",128.21,-128.21
,"29/04/2011","2100 · Payroll Liabilities","",128.21,-128.21
,"29/04/2011","2100 · Payroll Liabilities",0.00,"",0.00
,"29/04/2011","2100 · Payroll Liabilities",0.00,"",0.00
,"29/04/2011","2100 · Payroll Liabilities","",122.37,-122.37
,"29/04/2011","2100 · Payroll Liabilities","",122.37,-122.37
,"29/04/2011","2100 · Payroll Liabilities",0.00,"",0.00
,"29/04/2011","2100 · Payroll Liabilities",128.21,"",128.21
,"29/04/2011","2100 · Payroll Liabilities",122.37,"",122.37
,"29/04/2011","2100 · Payroll Liabilities",250.58,"",250.58
,"31/03/2011","2710 · Prepaid Maintenance",15690.74,"",15690.74
,"30/05/2011","2710 · Prepaid Maintenance","",13553.76,-13553.76
,"30/05/2011","2710 · Prepaid Maintenance","",10165.32,-10165.32
,"30/05/2011","2710 · Prepaid Maintenance","",1262.36,-1262.36
,"30/05/2011","2710 · Prepaid Maintenance","",1262.36,-1262.36
,"30/05/2011","2710 · Prepaid Maintenance","",4983.00,-4983.00
,"30/05/2011","2710 · Prepaid Maintenance","",2325.40,-2325.40
