Entity,Accnt. #,Account,FullAccount,Type
MXP SINGAPORE,5020,5020 - External Consulting,5020 - External Consulting,Cost of Goods Sold
MXP SINGAPORE,5021,5021 - External Consulting Net Fees,5020 - External Consulting:5021 - External Consulting Net Fees,Cost of Goods Sold
MXP SINGAPORE,5022,5022 - Withholding Tax,5020 - External Consulting:5022 - Withholding Tax,Cost of Goods Sold
MXP SINGAPORE,6002,6002 - Exchange Gain/Loss,6002 - Exchange Gain/Loss,Expense
MXP SINGAPORE,6010,6010 - Salaries & Benefits,6010 - Salaries & Benefits,Expense
MXP SINGAPORE,6011,6011 - Salary,6010 - Salaries & Benefits:6011 - Salary,Expense
MXP SINGAPORE,6012,6012 - Allowance,6010 - Salaries & Benefits:6012 - Allowance,Expense
MXP SINGAPORE,6013,6013 - Bonus,6010 - Salaries & Benefits:6013 - Bonus,Expense
MXP SINGAPORE,6014,6014 - Leave Pay Due on Termination,6010 - Salaries & Benefits:6014 - Leave Pay Due on Termination,Expense
MXP SINGAPORE,6015,6015 - MPF Contributions,6010 - Salaries & Benefits:6015 - MPF Contributions,Expense
MXP SINGAPORE,6016,6016 - Employment Pass Fees,6010 - Salaries & Benefits:6016 - Employment Pass Fees,Expense
MXP SINGAPORE,6017,6017 - Health Cover,6010 - Salaries & Benefits:6017 - Health Cover,Expense
MXP SINGAPORE,6018,6018 - Medical Benefits,6010 - Salaries & Benefits:6018 - Medical Benefits,Expense
MXP SINGAPORE,6019,6019 - Training,6010 - Salaries & Benefits:6019 - Training,Expense
MXP SINGAPORE,6020,6020 - Occupancy Charges,6020 - Occupancy Charges,Expense
MXP SINGAPORE,6021,6021 - Rent,6020 - Occupancy Charges:6021 - Rent,Expense
MXP SINGAPORE,6022,6022 - Amenities,6020 - Occupancy Charges:6022 - Amenities,Expense
MXP SINGAPORE,6023,6023 - Service Charge,6020 - Occupancy Charges:6023 - Service Charge,Expense
MXP SINGAPORE,6024,6024 - Signage,6020 - Occupancy Charges:6024 - Signage,Expense
MXP SINGAPORE,6025,6025 - Rates,6020 - Occupancy Charges:6025 - Rates,Expense
MXP SINGAPORE,6027,6027 - Repairs Reclaimed from Rent,6020 - Occupancy Charges:6027 - Repairs Reclaimed from Rent,Expense
MXP SINGAPORE,6030,6030 - Office Admin Costs,6030 - Office Admin Costs,Expense
MXP SINGAPORE,6031,6031 - Office Cleaning/Amenities,6030 - Office Admin Costs:6031 - Office Cleaning/Amenities,Expense
MXP SINGAPORE,6032,6032 - Secretarial Services,6030 - Office Admin Costs:6032 - Secretarial Services,Expense
MXP SINGAPORE,6038,6038 - Contract Services,6038 - Contract Services,Expense
MXP SINGAPORE,6040,6040 - Recruitment Advertising,6040 - Recruitment Advertising,Expense
MXP SINGAPORE,6100,6100 - Marketing,6100 - Marketing,Expense
MXP SINGAPORE,6101,6101 - Seminars & Promotion,6100 - Marketing:6101 - Seminars & Promotion,Expense
MXP SINGAPORE,6102,6102 - Printed Marketing Material,6100 - Marketing:6102 - Printed Marketing Material,Expense
MXP SINGAPORE,6103,6103 - Outside Services,6100 - Marketing:6103 - Outside Services,Expense
MXP SINGAPORE,6104,6104 - Mail List and Sources,6100 - Marketing:6104 - Mail List and Sources,Expense
MXP SINGAPORE,6110,6110 - Motor Expense,6110 - Motor Expense,Expense
MXP SINGAPORE,6120,6120 - Bank Service Charges,6120 - Bank Service Charges,Expense
MXP SINGAPORE,6125,6125 - Books and Publications,6125 - Books and Publications,Expense
MXP SINGAPORE,6130,6130 - Cash Discounts,6130 - Cash Discounts,Expense
MXP SINGAPORE,6140,6140 - Gifts and Donations,6140 - Gifts and Donations,Expense
MXP SINGAPORE,6150,6150 - Depreciation Expense,6150 - Depreciation Expense,Expense
MXP SINGAPORE,6153,6153 - Office Equip Depn,6150 - Depreciation Expense:6153 - Office Equip Depn,Expense
MXP SINGAPORE,6155,6155 - Depn Comp Eqt,6150 - Depreciation Expense:6155 - Depn Comp Eqt,Expense
MXP SINGAPORE,6157,6157 - Depn Fixtures & Fittings,6150 - Depreciation Expense:6157 - Depn Fixtures & Fittings,Expense
MXP SINGAPORE,6160,6160 - Dues and Subscriptions,6160 - Dues and Subscriptions,Expense
MXP SINGAPORE,6165,6165 - Entertainment,6165 - Entertainment,Expense
MXP SINGAPORE,6170,6170 - Equipment Rental,6170 - Equipment Rental,Expense
MXP SINGAPORE,6175,6175 - Expensed Equipment,6175 - Expensed Equipment,Expense
MXP SINGAPORE,6180,6180 - Insurance,6180 - Insurance,Expense
MXP SINGAPORE,6181,6181 - Fire & Risks,6180 - Insurance:6181 - Fire & Risks,Expense
MXP SINGAPORE,6185,6185 - Professional Indemnity Insuranc,6180 - Insurance:6185 - Professional Indemnity Insuranc,Expense
MXP SINGAPORE,6186,6186 - Sickness and accident Insurance,6180 - Insurance:6186 - Sickness and accident Insurance,Expense
MXP SINGAPORE,6187,6187 - Employer's Liability,6180 - Insurance:6187 - Employer's Liability,Expense
MXP SINGAPORE,6188,6188 - Employee Compensation,6180 - Insurance:6188 - Employee Compensation,Expense
MXP SINGAPORE,6200,6200 - Interest Expense,6200 - Interest Expense,Expense
MXP SINGAPORE,6202,6202 - Finance Charge,6200 - Interest Expense:6202 - Finance Charge,Expense
MXP SINGAPORE,6204,6204 - Loan Interest,6200 - Interest Expense:6204 - Loan Interest,Expense
MXP SINGAPORE,6208,6208 - Mortgage,6200 - Interest Expense:6208 - Mortgage,Expense
MXP SINGAPORE,6230,6230 - Licenses and Permits,6230 - Licenses and Permits,Expense
MXP SINGAPORE,6231,6231 - Business Registration,6230 - Licenses and Permits:6231 - Business Registration,Expense
MXP SINGAPORE,6240,6240 - Miscellaneous,6240 - Miscellaneous,Expense
MXP SINGAPORE,6250,6250 - Postage and Delivery,6250 - Postage and Delivery,Expense
MXP SINGAPORE,6260,6260 - Printing and Reproduction,6260 - Printing and Reproduction,Expense
MXP SINGAPORE,6270,6270 - Professional Fees,6270 - Professional Fees,Expense
MXP SINGAPORE,6271,6271 - Accounting,6270 - Professional Fees:6271 - Accounting,Expense
MXP SINGAPORE,6272,6272 - Legal Fees,6270 - Professional Fees:6272 - Legal Fees,Expense
MXP SINGAPORE,6273,6273 - Audit Fee,6270 - Professional Fees:6273 - Audit Fee,Expense
MXP SINGAPORE,6275,6275 - Other Professional Services,6270 - Professional Fees:6275 - Other Professional Services,Expense
MXP SINGAPORE,6276,6276 - Disbursements,6270 - Professional Fees:6276 - Disbursements,Expense
MXP SINGAPORE,6280,6280 - Repairs,6280 - Repairs,Expense
MXP SINGAPORE,6281,6281 - Building Repairs,6280 - Repairs:6281 - Building Repairs,Expense
MXP SINGAPORE,6282,6282 - Computer Repairs,6280 - Repairs:6282 - Computer Repairs,Expense
MXP SINGAPORE,6283,6283 - Equipment Repairs,6280 - Repairs:6283 - Equipment Repairs,Expense
MXP SINGAPORE,6285,6285 - Janitorial Exp,6280 - Repairs:6285 - Janitorial Exp,Expense
MXP SINGAPORE,6290,6290 - Subscriptions,6290 - Subscriptions,Expense
MXP SINGAPORE,6300,6300 - Software Expense,6300 - Software Expense,Expense
MXP SINGAPORE,6310,6310 - EDP Consumables,6310 - EDP Consumables,Expense
MXP SINGAPORE,6320,6320 - Telephone,6320 - Telephone,Expense
MXP SINGAPORE,6321,6321 - Installation,6320 - Telephone:6321 - Installation,Expense
MXP SINGAPORE,6322,6322 - Internet Charges,6320 - Telephone:6322 - Internet Charges,Expense
MXP SINGAPORE,6323,6323 - ISD Calls,6320 - Telephone:6323 - ISD Calls,Expense
MXP SINGAPORE,6325,6325 - Local Calls,6320 - Telephone:6325 - Local Calls,Expense
MXP SINGAPORE,6326,6326 - Service Fee,6320 - Telephone:6326 - Service Fee,Expense
MXP SINGAPORE,6327,6327 - Fax,6320 - Telephone:6327 - Fax,Expense
MXP SINGAPORE,6328,6328 - Skype Service,6320 - Telephone:6328 - Skype Service,Expense
